id,gender,birth,degree
83,M,1972-03-05,1b
84,M,1971-01-02,1b
85,M,1966-01-06,1b
86,M,1975-01-25,1b
87,M,1974-03-28,1c
88,M,1938-03-12,1d
89,M,1968-01-15,1b
90,M,1969-07-03,1d
91,M,1969-06-05,1b
92,M,1972-11-07,1c
93,M,1959-09-04,1b
94,M,1968-10-30,1b
95,M,1979-02-04,1b
96,M,1965-04-05,1c
97,M,1970-10-21,1a
98,M,1956-09-15,1d
99,M,1957-03-14,1d
100,M,1969-11-08,1b
101,F,1975-12-30,1d
102,M,1951-01-14,1e
103,M,1974-02-19,1b
104,M,1969-12-29,1d
105,M,1945-07-27,1d
106,F,1977-10-12,1c
107,M,1975-08-02,1b
108,M,1972-03-20,1d
109,M,1970-11-09,1b
110,F,1963-11-01,1b
111,M,1970-11-29,1b
112,M,1953-11-10,1c
113,M,1965-10-06,1d
114,F,1951-03-02,1d
115,M,1964-10-06,1a
116,M,1979-02-26,1d
117,M,1940-06-06,1b
118,M,1957-07-13,1d
119,M,1958-10-18,1g
120,M,1949-07-03,1b
121,M,1976-04-20,1b
122,M,1960-04-30,1b
123,F,1953-02-19,1b
124,M,1974-10-29,1c
125,M,1970-10-24,1c
126,M,1973-10-17,1b
127,M,1976-01-20,1b
128,M,1978-05-24,1d
129,M,1970-04-09,1c
130,M,1978-04-10,1d
131,M,1955-08-22,1c
132,M,1950-10-28,1c
133,M,1963-04-15,1c
134,F,1977-08-16,1d
135,M,1949-08-27,1b
136,F,1974-04-12,1b
137,M,1971-10-24,1b
138,M,1955-07-02,1b
139,M,1960-08-18,1c
140,F,1971-09-11,1b
141,M,1980-01-06,1d
142,M,1964-01-12,1d
143,M,1975-09-04,1c
144,M,1968-08-08,1c
145,M,1969-12-04,1b
146,M,1951-10-04,1d
147,M,1974-03-19,1g
148,M,1947-05-14,1e
149,M,1969-12-03,1c
150,M,1957-12-09,1c
151,M,1957-07-28,1b
152,M,1944-11-01,1b
153,M,1953-06-18,1d
154,M,1972-02-14,1b
155,M,1944-11-01,1b
156,F,1954-09-05,1b
157,M,1948-10-01,1c
158,M,1925-04-29,1d
159,M,1942-01-25,1d
160,M,1952-07-17,1c
161,M,1945-08-07,1b
162,M,1970-09-02,1b
163,F,1968-11-02,1d
164,F,1957-05-25,1d
165,M,1952-11-17,1c
166,M,1967-08-10,1b
167,F,1945-03-01,1c
168,M,1942-09-20,1c
169,M,1973-11-01,1c
170,M,1967-11-12,1c
171,M,1946-11-28,1d
172,F,1961-09-09,1b
173,F,1972-07-30,1b
174,M,1970-08-18,1c
175,M,1957-09-20,1b
176,M,1953-10-04,1b
177,M,1950-12-13,1e
178,M,1939-10-20,1b
179,M,1976-01-08,1c
180,M,1952-06-02,1a
181,M,1956-08-24,1b
182,M,1941-02-12,1b
183,M,1940-12-27,1b
184,M,1972-02-06,1d
185,F,1977-02-07,1c
186,M,1964-02-04,1b
187,M,1961-09-20,1d
188,M,1947-05-01,1d
189,F,1949-10-23,1e
190,M,1974-06-29,1c
191,F,1974-05-08,1c
192,M,1950-01-13,1c
193,M,1956-12-30,1d
194,M,1966-08-08,1b
195,M,1970-03-19,1b
196,F,1950-01-16,1d
197,M,1948-08-08,1d
198,M,1950-07-06,1d
199,M,1946-01-24,1d
200,M,1953-10-19,1c
201,M,1964-02-06,1b
202,M,1964-08-19,1b
203,M,1958-10-05,1d
204,M,1958-02-19,1c
205,F,1976-11-17,1d
206,F,1945-06-05,1e
207,M,1978-01-04,1d
208,M,1950-12-18,1b
209,M,1971-09-24,1b
210,M,1948-07-14,1b
211,M,1948-04-18,1d
212,M,1949-07-07,1e
213,M,1965-07-13,1d
214,M,1973-11-13,1a
215,M,1955-12-17,1g
216,F,1950-11-12,1c
217,F,1975-05-11,1b
218,M,1964-06-20,1d
219,M,1952-05-22,1d
220,M,1972-08-06,1d
221,M,1970-04-05,1b
222,F,1979-11-03,1c
223,M,1936-07-11,1c
224,M,1956-11-08,1d
225,M,1930-09-17,1c
226,M,1970-01-19,1g
227,M,1957-11-21,1d
228,M,1972-11-18,1b
229,F,1940-05-19,1d
230,M,1970-04-30,1b
231,M,1937-02-23,1c
232,M,1949-12-16,1c
233,F,1954-12-08,1c
234,M,1952-09-19,1e
235,M,1974-05-06,1c
236,M,1969-05-06,1b
237,M,1962-07-09,1c
238,M,1966-10-29,1b
239,F,1953-09-22,1d
240,M,1956-12-05,1a
241,M,1944-07-01,1b
242,F,1943-08-07,1b
243,M,1976-03-24,1c
244,M,1954-07-23,1a
245,M,1956-02-07,1d
246,M,1953-02-05,1d
247,M,1946-01-04,1c
248,M,1965-07-19,1f
249,F,1979-05-16,1d
250,M,1960-05-28,1b
251,M,1955-01-30,1e
252,M,1977-03-08,1b
253,F,1964-06-22,1b
254,M,1962-08-24,1b
255,M,1966-05-01,1g
256,M,1943-09-14,1b
257,M,1950-04-28,1d
258,M,1953-05-09,1c
259,F,1964-05-21,1a
260,F,1948-05-18,1b
261,M,1948-01-08,1b
262,M,1970-11-19,1d
263,F,1954-03-30,1d
264,M,1960-08-17,1d
265,M,1955-08-15,1b
266,F,1943-05-30,1c
267,M,1941-05-03,1b
268,F,1956-03-26,1b
269,M,1953-12-02,1c
270,M,1944-10-13,1a
271,M,1976-03-17,1b
272,M,1952-07-25,1d
273,M,1945-06-30,1b
274,M,1948-07-23,1b
275,F,1971-07-13,1c
276,F,1949-12-12,1b
277,M,1954-05-29,1c
278,M,1973-09-12,1b
279,M,1970-02-21,1b
280,F,1971-09-10,1b
281,F,1978-12-14,1b
282,M,1951-08-05,1c
283,M,1977-11-03,1c
284,M,1950-12-27,1e
285,M,1950-09-17,1e
286,M,1980-10-11,1b
287,F,1941-01-26,1a
288,M,1952-04-14,1b
289,F,1974-10-09,1b
290,M,1953-08-19,1c
291,M,1949-09-23,1e
292,M,1968-07-23,1c
293,M,1965-02-25,1b
294,M,1965-01-30,1c
295,F,1963-11-04,1b
296,M,1942-05-07,1b
297,F,1960-01-20,1b
298,M,1972-07-02,1c
299,F,1979-07-04,1b
300,M,1928-02-21,1b
301,M,1941-11-14,1b
302,M,1970-05-22,1e
303,M,1949-11-01,1c
304,M,1972-03-12,1c
305,M,1952-02-15,1b
306,M,1950-12-05,1c
307,M,1975-07-07,1b
308,M,1935-10-08,1b
309,M,1942-08-28,1d
310,M,1973-08-19,1c
311,M,1975-06-21,1d
312,M,1946-11-26,1c
313,M,1950-12-24,1d
314,M,1955-12-26,1c
315,M,1978-12-28,1b
316,M,1953-02-15,1c
317,M,1948-07-12,1b
318,F,1937-10-02,1c
319,M,1972-11-08,1b
320,M,1952-03-22,1c
321,M,1941-11-29,1c
322,F,1972-10-14,1c
323,M,1948-11-20,1d
324,M,1972-11-13,1c
325,M,1969-08-04,1g
326,M,1957-10-14,1b
327,M,1964-10-29,1b
328,M,1944-03-31,1c
329,F,1976-08-31,1b
330,M,1972-09-09,1b
331,M,1945-11-01,1b
332,F,1969-01-29,1b
333,M,1940-04-08,1d
334,M,1968-10-21,1c
335,M,1963-06-23,1b
336,F,1977-08-13,1c
337,M,1965-07-05,1c
338,M,1958-07-17,1c
339,M,1972-09-09,1b
340,M,1951-08-30,1c
341,M,1949-10-01,1b
342,F,1957-10-20,1c
343,M,1941-09-20,1d
344,M,1968-02-27,1b
345,M,1960-08-21,1d
346,M,1962-04-24,1a
347,M,1943-06-23,1c
348,M,1974-03-21,1c
349,M,1955-06-18,1c
350,M,1973-07-13,1c
351,M,1946-07-21,1c
352,M,1971-04-06,1c
353,M,1960-12-21,1d
354,M,1954-11-25,1d
355,F,1975-11-27,1b
356,M,1955-09-12,1b
357,M,1935-03-03,1b
358,M,1958-04-03,1c
359,M,1974-11-19,1d
360,M,1966-08-29,1d
361,M,1929-07-16,1b
362,M,1968-10-16,1c
363,F,1975-07-23,1c
364,M,1969-11-13,1d
365,M,1941-07-18,1c
366,M,1975-12-05,1c
367,M,1971-07-22,1b
368,F,1950-07-17,1e
369,M,1935-08-29,1b
370,M,1950-05-27,1d
371,M,1967-09-11,1b
372,M,1969-10-20,1a
373,M,1966-06-09,1c
374,M,1973-02-26,1c
375,F,1979-08-28,1d
376,F,1961-04-03,1a
377,M,1966-03-29,1a
378,M,1938-08-15,1b
379,M,1940-12-07,1b
380,M,1975-06-21,1b
381,M,1963-07-06,1c
382,F,1950-03-14,1d
383,M,1961-05-01,1b
384,M,1960-12-22,1d
385,F,1946-12-19,1d
386,M,1944-12-27,1c
387,M,1955-04-19,1d
388,M,1948-07-28,1b
389,F,1957-10-21,1d
390,M,1944-12-04,1a
391,M,1969-01-13,1c
392,M,1950-02-28,1c
393,M,1944-10-02,1b
394,M,1933-05-26,1b
395,M,1969-12-20,1d
396,M,1948-11-01,1c
397,F,1934-02-26,1c
398,M,1976-05-04,1c
399,M,1955-07-05,1d
400,M,1971-02-24,1c
401,M,1973-09-03,1c
402,M,1974-01-30,1c
403,F,1972-02-03,1g
404,F,1957-09-18,1b
405,M,1969-09-24,1c
406,F,1980-10-20,1b
407,M,1938-12-08,1b
408,M,1951-11-16,1d
409,M,1973-11-11,1c
410,M,1939-09-19,1b
411,F,1971-11-02,1d
412,M,1954-08-19,1c
413,M,1964-03-21,1c
414,M,1969-07-20,1d
415,M,1947-10-06,1c
416,M,1945-04-02,1c
417,F,1970-03-28,1b
418,M,1957-02-15,1d
419,M,1971-07-18,1c
420,M,1958-08-12,1d
421,M,1951-10-16,1c
422,M,1975-07-25,1b
423,M,1958-07-30,1d
424,M,1951-09-23,1d
425,M,1944-05-25,1c
426,M,1954-04-06,1d
427,M,1959-04-26,1a
428,F,1973-02-26,1c
429,M,1935-03-20,1b
430,M,1953-06-05,1c
431,M,1947-08-09,1c
432,M,1974-10-14,1b
433,M,1959-04-03,1c
434,M,1976-03-15,1c
435,F,1955-04-15,1c
436,M,1966-09-24,1g
437,F,1971-05-22,1d
438,F,1971-07-07,1b
439,M,1957-09-19,1b
440,M,1962-09-22,1d
441,M,1948-09-26,1b
442,M,1939-10-23,1d
443,M,1956-12-07,1c
444,M,1972-09-20,1b
445,M,1954-11-16,1b
446,F,1953-01-18,1c
447,M,1929-08-21,1c
448,F,1975-12-22,1c
449,F,1966-06-07,1b
450,M,1966-02-19,1b
451,M,1966-01-01,1b
452,M,1976-01-13,1b
453,F,1975-01-23,1b
454,M,1976-05-09,1c
455,M,1968-02-04,1b
456,F,1973-01-19,1d
457,M,1946-12-07,1c
458,M,1962-08-02,1d
459,F,1980-03-23,1d
460,M,1977-05-07,1c
461,M,1975-03-14,1b
462,F,1978-01-07,1c
463,F,1970-10-21,1b
464,M,1928-10-31,1c
465,M,1972-10-22,1b
466,F,1974-11-30,1c
467,M,1956-03-31,1c
468,M,1946-08-31,1b
469,M,1947-04-01,1d
470,M,1943-09-14,1b
471,M,1954-10-14,1a
472,M,1946-02-06,1b
473,M,1958-09-26,1c
474,M,1960-02-24,1b
475,M,1957-03-23,1c
476,M,1940-08-19,1b
477,F,1977-12-07,1b
478,M,1954-09-05,1b
479,M,1954-02-01,1b
480,F,1962-09-22,1d
481,M,1951-11-05,1b
482,F,1974-04-19,1c
483,M,1963-01-10,1b
484,M,1938-10-30,1b
485,M,1958-05-04,1c
486,M,1967-04-11,1c
487,M,1970-08-10,1b
488,M,1963-11-27,1a
489,F,1961-05-21,1c
490,M,1973-02-23,1c
491,F,1963-04-06,1d
492,F,1980-01-26,1d
493,M,1944-02-22,1b
494,M,1970-02-23,1d
495,M,1963-02-16,1d
496,M,1948-01-27,1c
497,M,1974-06-30,1g
498,M,1950-03-23,1c
499,M,1947-09-03,1b
500,F,1969-01-04,1g
501,M,1952-06-04,1a
502,F,1968-09-20,1c
503,M,1955-11-14,1d
504,F,1974-03-20,1b
505,F,1980-09-10,1e
506,F,1956-12-23,1d
507,F,1942-12-06,1b
508,M,1948-07-04,1b
509,M,1975-04-21,1g
510,M,1967-12-13,1c
511,M,1959-01-17,1d
512,M,1976-12-04,1b
513,M,1974-02-24,1c
514,M,1956-09-16,1b
515,M,1952-06-21,1e
516,M,1954-09-30,1f
517,M,1950-06-18,1d
518,M,1954-06-13,1b
519,M,1946-02-20,1d
520,M,1951-05-07,1e
521,M,1954-08-13,1c
522,M,1951-02-23,1d
523,M,1951-06-15,1b
524,M,1967-05-08,1g
525,M,1949-07-20,1b
526,F,1956-03-05,1c
527,M,1950-06-10,1c
528,M,1977-08-09,1c
529,M,1956-10-01,1b
530,M,1971-11-19,1d
531,F,1972-05-29,1c
532,F,1974-07-03,1c
533,F,1956-02-19,1b
534,M,1963-01-01,1b
535,F,1980-05-03,1d
536,M,1937-07-26,1b
537,M,1957-04-28,1b
538,F,1975-11-12,1c
539,F,1935-04-26,1g
540,M,1974-01-31,1c
541,F,1979-12-07,1d
542,M,1947-06-28,1c
543,F,1959-02-02,1c
544,M,1974-06-23,1b
545,M,1969-12-25,1d
546,M,1950-03-27,1c
547,M,1943-11-11,1b
548,M,1958-05-28,1c
549,F,1975-11-19,1b
550,M,1941-10-01,1c
551,F,1973-09-16,1b
552,M,1973-01-15,1c
553,M,1979-03-16,1b
554,M,1971-02-20,1c
555,M,1956-02-10,1c
556,M,1965-08-17,1a
557,M,1968-04-11,1b
558,M,1969-11-15,1e
559,M,1946-06-04,1d
560,F,1978-07-05,1c
561,M,1963-04-05,1c
562,M,1955-03-06,1c
563,F,1975-11-05,1b
564,F,1948-10-13,1c
565,,,
566,F,1970-12-31,1d
567,M,1974-10-02,1b
568,M,1962-09-12,1b
569,F,1969-01-12,1b
570,M,1968-12-16,1b
571,F,1958-07-03,1d
572,M,1968-12-28,1b
573,M,1968-12-15,1c
574,F,1964-10-23,1d
575,F,1954-07-18,1d
576,M,1952-05-21,1c
577,F,1946-10-28,1d
578,M,1956-01-26,1b
579,F,1977-01-13,1c
580,F,1978-01-11,1c
581,F,1979-05-22,1c
582,F,1945-11-20,1c
583,M,1976-10-06,1d
584,M,1951-02-25,1c
585,F,1963-01-20,1c
586,M,1948-12-11,1b
587,M,1973-12-19,1c
588,M,1969-05-13,1b
589,F,1951-10-11,1c
590,M,1967-07-11,1c
591,M,1973-11-17,1c
592,F,1950-05-17,1d
593,M,1961-03-25,1a
594,M,1969-01-04,1b
595,M,1970-08-26,1b
596,M,1950-01-13,1d
597,M,1952-03-19,1e
598,F,1971-07-10,1a
599,M,1951-11-05,1c
600,M,1939-12-31,1b
601,F,1979-02-12,1c
602,F,1963-01-27,1b
603,F,1973-10-08,1c
604,F,1974-01-14,1c
605,M,1975-01-03,1d
606,F,1978-08-07,1d
607,F,1973-07-12,1a
608,M,1972-07-20,1c
609,F,1979-09-14,1d
610,M,1947-03-08,1b
611,M,1948-02-21,1c
612,M,1947-08-21,1e
613,M,1943-03-10,1d
614,M,1967-08-19,1c
615,M,1975-07-17,1d
616,M,1954-03-20,1d
617,M,1940-12-31,1b
618,M,1957-05-04,1d
619,M,1974-02-09,1c
620,M,1952-07-13,1c
621,M,1972-06-05,1d
622,M,1979-06-21,1b
623,M,1958-02-04,1c
624,M,1977-06-28,1b
625,M,1979-08-30,1d
626,M,1952-01-27,1d
627,M,1956-06-26,1b
628,M,1968-01-22,1d
629,F,1972-09-23,1c
630,M,1975-08-11,1a
631,M,1972-01-25,1b
632,M,1953-01-20,1d
633,M,1977-01-07,1b
634,F,1971-11-29,1b
635,F,1972-10-05,1a
636,F,1953-11-10,1e
637,M,1965-12-07,1a
638,M,1974-01-09,1c
639,M,1958-04-11,1b
640,M,1978-04-04,1b
641,M,1975-07-27,1d
642,M,1959-09-13,1c
643,M,1977-11-06,1c
644,M,1973-06-12,1b
645,F,1971-11-01,1b
646,M,1969-12-31,1b
647,M,1977-02-04,1c
648,M,1956-11-07,1g
649,F,1951-04-22,1g
650,M,1955-03-09,1b
651,M,1954-12-14,1c
652,F,1973-10-14,1g
653,M,1967-12-09,1a
654,M,1977-09-22,1c
655,F,1974-10-07,1c
656,M,1944-11-18,1c
657,M,1947-10-17,1d
658,F,1947-02-17,1d
659,F,1965-09-20,1b
660,M,1977-07-27,1c
661,M,1955-10-10,1b
662,M,1973-09-10,1d
663,M,1960-09-02,1c
664,M,1958-04-19,1c
665,M,1968-11-16,1b
666,M,1964-12-24,1b
667,M,1955-05-12,1c
668,M,1959-10-02,1d
669,M,1943-10-04,1b
670,M,1973-08-14,1b
671,M,1952-06-24,1b
672,F,1958-04-02,1d
673,F,1969-03-09,1b
674,F,1959-06-16,1d
675,M,1941-01-12,1b
676,F,1955-04-20,1d
677,M,1972-08-09,1c
678,M,1976-01-02,1b
679,M,1967-05-24,1a
680,M,1975-06-01,1b
681,M,1977-03-03,1c
682,M,1948-02-14,1b
683,M,1945-09-15,1b
684,F,1961-04-09,1d
685,M,1973-10-13,1c
686,M,1951-07-02,1d
687,M,1977-01-06,1b
688,M,1973-03-21,1d
689,F,1972-03-11,1c
690,M,1969-11-12,1b
691,M,1948-07-20,1d
692,F,1967-03-19,1c
693,M,1957-07-15,1c
694,M,1944-07-08,1d
695,M,1980-11-18,1d
696,F,1980-12-03,1d
697,M,1961-04-22,1c
698,F,1950-09-24,1c
699,F,1973-08-22,1a
700,M,1975-02-20,1c
701,M,1946-12-10,1c
702,M,1953-12-26,1c
703,M,1974-09-10,1c
704,F,1974-11-09,1b
705,F,1951-12-18,1b
706,F,1966-01-14,1b
707,F,1976-09-25,1d
708,M,1956-02-29,1c
709,M,1975-07-15,1b
710,F,1974-10-23,1b
711,M,1954-07-15,1b
712,M,1974-10-13,1b
713,F,1964-02-17,1c
714,F,1973-02-05,1g
715,F,1948-01-20,1d
716,M,1952-02-10,1c
717,M,1967-10-27,1b
718,M,1974-04-16,1b
719,M,1964-04-13,1b
720,M,1952-07-25,1b
721,M,1968-10-28,1b
722,F,1976-12-07,1b
723,F,1980-05-30,1b
724,M,1964-07-23,1f
725,M,1951-08-10,1b
726,M,1956-01-04,1b
727,F,1978-10-26,1b
728,M,1947-03-11,1b
729,M,1979-04-02,1c
730,M,1971-04-06,1b
731,M,1946-12-06,1b
732,F,1960-01-24,1d
733,M,1973-01-28,1c
734,M,1965-11-30,1b
735,M,1958-06-17,1d
736,M,1972-07-30,1d
737,M,1976-09-27,1d
738,M,1943-06-26,1c
739,M,1973-08-15,1b
740,F,1969-07-25,1b
741,M,1972-12-27,1b
742,M,1944-02-11,1b
743,F,1974-05-20,1b
744,M,1959-09-21,1c
745,M,1970-01-22,1g
746,M,1975-05-23,1b
747,M,1951-07-04,1c
748,M,1977-10-24,1c
749,M,1976-05-01,1c
750,M,1953-03-25,1c
751,M,1952-10-09,1e
752,M,1969-12-27,1a
753,F,1974-03-03,1c
754,M,1972-11-16,1c
755,F,1970-12-12,1d
756,M,1971-01-04,1c
757,M,1951-11-10,1c
758,M,1948-11-29,1c
759,M,1970-08-26,1d
760,F,1973-01-28,1c
761,M,1964-03-14,1c
762,M,1971-06-07,1g
763,M,1934-04-16,1b
764,F,1972-09-15,1c
765,M,1949-09-26,1e
766,M,1976-01-20,1c
767,M,1973-06-27,1b
768,M,1952-06-24,1c
769,M,1972-02-25,1c
770,M,1978-01-27,1d
771,M,1957-02-14,1b
772,M,1945-02-14,1d
773,M,1979-06-17,1d
774,M,1953-03-10,1a
775,M,1966-10-09,1d
776,M,1978-01-20,1b
777,M,1978-01-17,1d
778,F,1975-04-12,1c
779,F,1975-07-17,1c
780,F,1976-07-24,1b
781,M,1950-12-21,1c
782,M,1977-07-02,1b
783,M,1947-11-17,1b
784,M,1960-03-21,1c
785,F,1976-11-03,1c
786,F,1968-09-04,1d
787,M,1954-08-04,1d
788,M,1974-03-07,1b
789,M,1947-09-27,1b
790,M,1946-02-06,1d
791,F,1976-07-03,1c
792,M,1973-12-26,1c
793,M,1972-02-07,1b
794,M,1977-03-15,1d
795,M,1948-08-14,1c
796,M,1972-12-28,1b
797,M,1951-12-10,1b
798,F,1980-10-06,1d
799,F,1973-01-21,1c
800,M,1980-02-28,1b
801,M,1958-07-08,1b
802,M,1949-03-13,1b
803,M,1958-08-15,1b
804,F,1978-11-25,1c
805,M,1956-04-14,1c
806,F,1973-01-12,1c
807,M,1961-09-07,1b
808,M,1949-09-25,1c
809,M,1968-08-11,1g
810,M,1965-02-12,1b
811,M,1953-04-23,1b
812,F,1971-10-19,1d
813,M,1970-03-12,1b
814,M,1947-03-19,1d
815,M,1968-05-16,1d
816,M,1963-02-23,1d
817,M,1970-11-01,1b
818,M,1957-05-11,1c
819,M,1957-05-08,1b
820,M,1952-08-11,1c
821,F,1969-11-19,1c
822,M,1956-02-27,1a
823,F,1970-05-27,1d
824,M,1968-10-11,1b
825,M,1934-09-12,1d
826,F,1948-03-11,1c
827,M,1950-09-14,1c
828,M,1951-06-22,1c
829,M,1947-08-06,1d
830,F,1962-01-28,1c
831,M,1968-07-19,1b
832,M,1966-08-20,1b
833,F,1966-07-06,1c
834,M,1945-06-16,1c
835,M,1972-11-09,1c
836,M,1950-08-07,1c
837,M,1951-03-13,1c
838,M,1950-04-13,1d
839,F,1956-08-03,1c
840,M,1950-09-10,1c
841,F,1975-10-14,1b
842,M,1954-10-18,1c
843,M,1956-06-24,1c
844,M,1946-11-19,1b
845,M,1957-01-25,1g
846,M,1951-08-10,1c
847,M,1950-04-27,1c
848,M,1958-11-16,1d
849,M,1942-02-15,1a
850,M,1955-05-06,1c
851,F,1978-08-20,1b
852,M,1964-01-13,1b
853,F,1974-02-09,1a
854,M,1976-01-10,1d
855,M,1946-02-09,1b
856,M,1952-06-28,1d
857,M,1973-04-29,1d
858,M,1969-12-01,1b
859,M,1974-01-12,1d
860,F,1939-03-05,1b
861,F,1977-04-06,1b
862,F,1971-07-08,1c
863,F,1970-02-08,1b
864,M,1963-05-04,1a
865,M,1976-08-06,1c
866,M,1946-11-29,1b
867,F,1977-02-17,1b
868,,,
869,F,1974-05-11,1b
870,M,1969-01-13,1b
871,F,1976-08-10,1g
872,M,1969-03-20,1d
873,M,1943-01-02,1b
874,F,1946-04-10,1d
875,M,1971-11-15,1c
876,M,1955-06-05,1c
877,F,1954-08-09,1d
878,M,1947-11-23,1d
879,M,1953-03-06,1d
880,M,1980-12-11,1d
881,M,1946-08-15,1c
882,M,1970-06-20,1c
883,F,1974-01-09,1b
884,M,1974-08-09,1d
885,M,1955-11-17,1c
886,M,1964-04-08,1c
887,F,1956-06-25,1d
888,M,1973-04-05,1b
889,F,1972-07-01,1d
890,F,1963-03-12,1g
891,M,1944-02-25,1b
892,F,1974-01-31,1b
893,M,1971-08-22,1b
894,M,1978-07-07,1d
895,M,1975-02-27,1c
896,F,1951-08-24,1a
897,M,1968-09-01,1d
898,F,1975-03-02,1c
899,M,1950-05-03,1c
900,F,1953-01-25,1d
901,M,1950-09-26,1d
902,M,1965-11-16,1g
903,M,1972-02-16,1g
904,M,1971-01-23,1b
905,M,1966-06-08,1b
906,M,1978-11-18,1d
907,F,1960-11-03,1c
908,M,1953-05-30,1b
909,M,1952-04-11,1c
910,M,1962-01-12,1b
911,M,1972-01-26,1d
912,M,1972-02-04,1c
913,M,1949-04-30,1c
914,M,1935-07-26,1d
915,M,1974-02-23,1b
916,F,1974-07-15,1g
917,M,1967-03-30,1b
918,M,1973-06-28,1c
919,M,1974-01-14,1c
920,M,1964-12-28,1c
921,M,1958-11-24,1d
922,M,1951-02-10,1c
923,M,1950-08-31,1c
924,M,1973-08-15,1c
925,M,1949-04-05,1e
926,M,1968-06-28,1b
927,M,1952-12-08,1e
928,M,1972-02-15,1c
929,M,1963-08-14,1b
930,M,1959-06-12,1c
931,F,1974-04-22,1c
932,M,1974-06-26,1c
933,M,1963-11-09,1c
934,M,1971-01-05,1c
935,F,1977-07-26,1c
936,F,1977-02-12,1b
937,M,1978-03-27,1b
938,F,1947-06-04,1c
939,F,1978-06-24,1c
940,M,1952-12-05,1c
941,F,1977-05-17,1d
942,M,1943-12-13,1d
943,M,1972-10-28,1d
944,M,1950-09-17,1c
945,M,1979-01-27,1d
946,M,1945-11-20,1e
947,M,1961-11-08,1c
948,M,1969-03-13,1d
949,M,1966-10-26,1b
950,F,1956-07-04,1c
951,F,1971-05-21,1c
952,M,1970-10-13,1b
953,M,1956-06-11,1d
954,M,1975-06-19,1c
955,M,1968-05-03,1b
956,M,1955-08-18,1b
957,M,1968-09-26,1a
958,M,1958-06-04,1e
959,M,1959-07-07,1g
960,M,1967-06-30,1b
961,M,1968-09-23,1g
962,M,1949-08-11,1d
963,M,1948-03-12,1b
964,M,1928-04-23,1c
965,M,1966-09-26,1a
966,F,1954-03-29,1d
967,M,1970-07-26,1b
968,F,1974-09-29,1d
969,F,1952-10-04,1e
970,M,1955-11-18,1g
971,F,1975-03-19,1c
972,F,1977-05-06,1g
973,M,1972-05-05,1e
974,M,1950-11-13,1b
975,M,1971-04-15,1b
976,M,1952-05-28,1c
977,M,1956-12-02,1c
978,F,1970-12-06,1c
979,F,1950-12-18,1d
980,F,1979-11-15,1b
981,M,1975-07-27,1b
982,M,1946-10-08,1a
983,M,1972-05-30,1b
984,M,1978-12-29,1c
985,F,1966-01-01,1c
986,F,1972-12-06,1b
987,F,1948-09-01,1d
988,M,1950-01-29,1b
989,M,1958-10-20,1d
990,M,1947-12-17,1c
991,M,1971-06-24,1b
992,M,1948-03-20,1c
993,M,1980-09-27,1d
994,M,1968-01-02,1g
995,M,1952-03-24,1b
996,M,1947-03-06,1b
997,M,1953-01-13,1d
998,M,1955-08-14,1b
999,M,1969-11-20,1b
